"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","帖子管理","1","0","获取帖子列表","0"
"0","","0","用户管理","1","0","创建用户","0"
"0","","0","待办事项管理","1","0","创建待办事项","0"
"0","","0","评论管理","1","0","获取帖子评论","0"
"0","","0","评论管理","1","0","获取评论列表","0"
"0","","0","帖子管理","1","0","创建帖子","0"
"0","","0","照片管理","1","0","获取相册照片","0"
"0","","0","相册管理","1","0","获取用户相册","0"
"0","","0","相册管理","1","0","获取相册列表","0"
"0","","0","帖子管理","1","0","更新帖子","0"
"0","","0","帖子管理","1","0","获取单个帖子","0"
"0","","0","照片管理","0","1","上传照片","0"
"0","","0","相册管理","1","0","获取单个相册","0"
"0","","0","照片管理","1","0","创建照片","0"
"0","","0","照片管理","1","0","获取照片列表","0"
"0","","0","照片管理","1","0","获取单个照片","0"
"0","","0","待办事项管理","1","0","获取待办事项列表","0"
"0","","0","用户管理","3","0","获取单个用户","0"
"0","","0","用户管理","1","0","获取用户列表","0"
"0","","0","帖子管理","1","0","删除帖子","0"
"0","","0","相册管理","1","0","创建相册","0"
