"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"测试获取所有帖子","19","测试获取所有帖子","tests","2025-12-19","passed","2025-12-19","TestPostAPI","test_sample_api","",""
"测试创建新用户","224","测试创建新用户","tests","2025-12-19","passed","2025-12-19","TestUserAPI","test_sample_api","",""
"测试创建新待办事项","83","测试创建新待办事项","tests","2025-12-19","passed","2025-12-19","TestTodoAPI","test_sample_api","",""
"测试获取帖子评论","18","测试获取帖子评论","tests","2025-12-19","passed","2025-12-19","TestCommentAPI","test_sample_api","",""
"测试获取所有评论","25","测试获取所有评论","tests","2025-12-19","passed","2025-12-19","TestCommentAPI","test_sample_api","",""
"测试创建新帖子","85","测试创建新帖子","tests","2025-12-19","passed","2025-12-19","TestPostAPI","test_sample_api","",""
"测试获取相册照片","24","测试获取相册照片","tests","2025-12-19","passed","2025-12-19","TestPhotoAPI","test_sample_api","",""
"测试获取用户相册","19","测试获取用户相册","tests","2025-12-19","passed","2025-12-19","TestAlbumAPI","test_sample_api","",""
"测试获取所有相册","22","测试获取所有相册","tests","2025-12-19","passed","2025-12-19","TestAlbumAPI","test_sample_api","",""
"测试更新帖子","228","测试更新帖子","tests","2025-12-19","passed","2025-12-19","TestPostAPI","test_sample_api","",""
"测试获取单个帖子","17","测试获取单个帖子","tests","2025-12-19","passed","2025-12-19","TestPostAPI","test_sample_api","",""
"
        测试上传照片文件
        注意：jsonplaceholder API可能不支持文件上传，所以添加了跳过机制
        ","1","测试上传照片文件","tests","2025-12-19","skipped","2025-12-19","TestPhotoAPI","test_sample_api","",""
"测试获取单个相册","18","测试获取单个相册","tests","2025-12-19","passed","2025-12-19","TestAlbumAPI","test_sample_api","",""
"测试创建新照片","87","测试创建新照片","tests","2025-12-19","passed","2025-12-19","TestPhotoAPI","test_sample_api","",""
"测试获取所有照片","51","测试获取所有照片","tests","2025-12-19","passed","2025-12-19","TestPhotoAPI","test_sample_api","",""
"测试获取单个照片","21","测试获取单个照片","tests","2025-12-19","passed","2025-12-19","TestPhotoAPI","test_sample_api","",""
"测试获取所有待办事项","19","测试获取所有待办事项","tests","2025-12-19","passed","2025-12-19","TestTodoAPI","test_sample_api","",""
"测试获取单个用户","20","测试获取单个用户","tests","2025-12-19","passed","2025-12-19","TestUserAPI","test_sample_api","",""
"测试获取所有用户","108","测试获取所有用户","tests","2025-12-19","passed","2025-12-19","TestUserAPI","test_sample_api","",""
"测试删除帖子","85","测试删除帖子","tests","2025-12-19","passed","2025-12-19","TestPostAPI","test_sample_api","",""
"测试获取单个用户","20","测试获取单个用户","tests","2025-12-19","passed","2025-12-19","TestUserAPI","test_sample_api","",""
"测试获取单个用户","20","测试获取单个用户","tests","2025-12-19","passed","2025-12-19","TestUserAPI","test_sample_api","",""
"测试创建新相册","86","测试创建新相册","tests","2025-12-19","passed","2025-12-19","TestAlbumAPI","test_sample_api","",""
